"centrale_serial";"lecteur_serial"
"1101-2524001331";"22465200002400002b00002508000903"
"1101-2506000712";"22465200002400002b00002508000699"
"1101-2506000912";"22465200002400002b00002508000691"
"1101-2506000762";"22465200002400002b00002508000447"
"1101-2506000899";"22465200002400002b00002508000681"
"1101-2506000592";"22465200002400002b00002508000690"
"1101-2506000721";"22465200002400002b00002508000715"
"1101-2506000765";"22465200002400002b00002508000994"
"1101-2506000600";"22465200002400002b00002508000713"
"1101-2506000951";"22465200002400002b00002508000997"
"1101-2506000373";"22465200002400002b00002508000676"
"1101-2506000988";"22465200002400002b00002508000909"
"1101-2506000894";"22465200002400002b00002508000513"
"1101-2506000865";"22465200002400002b00002508000510"
"1101-2506000130";"22465200002400002b00002508000560"
"1101-2506000151";"22465200002400002b00002508000585"
"1101-2506000445";"22465200002400002b00002508000546"
"1101-2506000213";"22465200002400002b00002508000436"
"1101-2551000625";"22465200002400002b00002508000556"
"1101-2506000047";"22465200002400002b00002508000854"
"1101-2506000030";"22465200002400002b00002508000987"
"1101-2506000193";"22465200002400002b00002508000479"
"1101-2506000441";"22465200002400002b00002508000861"
"1101-2506000577";"22465200002400002b00002508000813"
"1101-2625000916";"22465200002400002b00002508000823"
"1101-2543000446";"22465200002400002b00002508000840"
"1101-2506000900";"22465200002400002b00002508000892"
"1101-2506000163";"22465200002400002b00002508000890"
"1101-2506000211";"22465200002400002b00002508000827"
"1101-2506000710";"22465200002400002b00002508000841"
"1001-2526000061";"22465200002400002b00002508000857"
"1101-2506000483";"22465200002400002b00002508000877"
"1101-2506000621";"22465200002400002b00002508000491"
"1101-2524001358";"22465200002400002b00002508000501"
"1101-2506000070";"22465200002400002b00002508000497"
"1101-2506000463";"22465200002400002b00002508000645"
"1101-2506000239";"22465200002400002b00002508000552"
"1101-2611000228";"22465200002400002b00002508000634"
"1101-2506000197";"22465200002400002b00002508000555"
"1101-2506000119";"22465200002400002b00002508000603"
"1101-2506000883";"22465200002400002b00002508000633"
"1101-2506000658";"22465200002400002b00002508000662"
"1101-2506000010";"22465200002400002b00002508000325"
"1101-2506000552";"22465200002400002b00002508000332"
"1101-2506000266";"22465200002400002b00002508000329"
"1101-2506000467";"22465200002400002b00002508000463"
"1101-2506000034";"22465200002400002b00002508000833"
"1101-2506000111";"22465200002400002b00002508000991"
"1101-2506000297";"22465200002400002b00002508000789"
"1101-2506000365";"22465200002400002b00002508000799"
"1101-2506000542";"22465200002400002b00002508000788"
"1101-2506000164";"22465200002400002b00002508000971"
"1101-2625000780";"22465200002400002b00002508000990"
"1101-2506000036";"22465200002400002b00002508000790"
"1101-2506000293";"22465200002400002b00002508000803"
"1001-2538000267";"22465200002400002b00002508000969"
"1101-2506000015";"22465200002400002b00002508000805"
"1101-2506000332";"22465200002400002b00002508000807"
"1101-2506001009";"22465200002400002b00002508000468"
"1101-2506000611";"22465200002400002b00002508000467"
"1101-2506000325";"22465200002400002b00002508000978"
"1101-2506000962";"22465200002400002b00002508000462"
"1101-2506000116";"22465200002400002b00002508000794"
"1101-2506001003";"22465200002400002b00002508000982"
"1101-2625000235";"22465200002400002b00002508000107"
"1101-2506000368";"22465200002400002b00002508000646"
"1101-2506000097";"22465200002400002b00002508000596"
"1101-2506000043";"22465200002400002b00002508000618"
"1101-2506000599";"22465200002400002b00002508000631"
"1101-2506000025";"22465200002400002b00002508000621"
"1101-2506000021";"22465200002400002b00002508000597"
"1101-2506000795";"22465200002400002b00002508000619"
"1101-2506000370";"22465200002400002b00002508000598"
"1101-2506000041";"22465200002400002b00002508000608"
"1101-2506000685";"22465200002400002b00002508000647"
"1101-2506000228";"22465200002400002b00002508000607"
"1101-2506000705";"22465200002400002b00002508000623"
"1101-2506000083";"22465200002400002b00002508000341"
"1101-2506000403";"22465200002400002b00002508000349"
"1101-2506000491";"22465200002400002b00002508000588"
"1101-2506000204";"22465200002400002b00002508000269"
"1101-2549000689";"22465200002400002b00002508000218"
"1101-2506000655";"22465200002400002b00002508000257"
"1101-2506000220";"22465200002400002b00002508000280"
"1101-2506000154";"22465200002400002b00002508000251"
"1101-2532001503";"22465200002400002b00002508000230"
"1101-2506000820";"22465200002400002b00002508000241"
"1101-2506000699";"22465200002400002b00002508000244"
